,,,,,,,,,,,,,,,,,,,,,,,,,
,KODE AKUN,,PROGRAM/KEG/KOUTPUT/SUBOUTPUT/KOMPONEN/SUBKOMP/DETIL,,,VOL,SAT,H SATUAN,PAGU,REALISASI,,,,SALDO,,,,,,,,,,,
,,,,,,,,,,SP2D,%,AKRURAL,%,SP2D,AKRURAL,,,,,,,,,,
,,,  - ,Honor Instruktur [2 ORG x 2 keg x 1 LOK],,4,OK,500000,2000000,,,,,_(* 2000000_),_(* 2000000_),,,,,,,,,,
,D,,Karya Ilmiah dan Latihan Olah Bakat dan Minat,,,,,,186900000,0,,0,,_(* 186900000_),_(* 186900000_),,,,,,,,,,
,521211,,Belanja Bahan,,,,,,15900000,0,,0,,_(* 15900000_),_(* 15900000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Snack dan Konsumsi Siswa [25 ORG x 4 KL x 3 hr x 1 Rom,,300,OK,53000,15900000,,,,,_(* 15900000_),_(* 15900000_),,,,,,,,,,
,521219,,Belanja Barang Non Operasional Lainnya,,,,,,105000000,0,,0,,_(* 105000000_),_(* 105000000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Pengembangan Kompetensi Siswa dan Kegiatan Sekolah,,1,PAKET,95000000,95000000,,,,,_(* 95000000_),_(* 95000000_),,,,,,,,,,
,,,  - ,Biaya Masuk Lokasi Study [25 Org x 2 Bln x 1 Rom],,50,OK,200000,10000000,,,,,_(* 10000000_),_(* 10000000_),,,,,,,,,,
,521811,,Belanja Barang Persediaan Barang Konsumsi,,,,,,10000000,0,,0,,_(* 10000000_),_(* 10000000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Media Ekstrakulikuler Lainnya [20 Pcs x 1 Pkt x 1 Lok],,20,OK,500000,10000000,,,,,_(* 10000000_),_(* 10000000_),,,,,,,,,,
,522141,,Belanja Sewa,,,,,,8000000,0,,0,,_(* 8000000_),_(* 8000000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Sewa Bus [1 unt x 2 keg x 1 Rom],,2,OK,4000000,8000000,,,,,_(* 8000000_),_(* 8000000_),,,,,,,,,,
,522151,,Belanja Jasa Profesi,,,,,,48000000,0,,0,,_(* 48000000_),_(* 48000000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Honor Pembimbing Olahraga/Olah Minat [4 ORG x 2 KL x 12 BLN x 1 LOK,,96,OK,500000,48000000,,,,,_(* 48000000_),_(* 48000000_),,,,,,,,,,
,E,,Koordinasi dan Konsultasi Sekolah Rakyat,,,,,,151200000,0,,0,,_(* 151200000_),_(* 151200000_),,,,,,,,,,
,524111,,Belanja Perjalanan Dinas Biasa,,,,,,142700000,0,,0,,_(* 142700000_),_(* 142700000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,transport petugas [5 Org x 2 KEG x 2 KL x 1 Lok,,20,OK,5000000,100000000,,,,,_(* 100000000_),_(* 100000000_),,,,,,,,,,
,,,  - ,uang penginapan petugas [5 Org x 2 KEG x 3 HR x 1 Lok,,30,OK,850000,25500000,,,,,_(* 25500000_),_(* 25500000_),,,,,,,,,,
,,,  - ,Uang Harian Petugas [5 Org x 2 KEG x 4 HR x 1 Lok,,40,OK,430000,17200000,,,,,_(* 17200000_),_(* 17200000_),,,,,,,,,,
,524113,,Belanja Perjalanan Dinas Dalam Kota,,,,,,8500000,0,,0,,_(* 8500000_),_(* 8500000_),,,,,,,,,,
